Address,Balance,Vote
0x67d18c47A96F62c1ce7d743a95c178789d0dbe91,5.28607576,True
0xCA2c1EE8C0274C6719d36E0576b3e94eA9a5c383,8.141586896486958,True
0xDb0C980a0a9EdD23511C330FAf6BE21D9b478550,15.15046004,True
0xB2D6AAF0bca136C252Ec94F0f06c2489F734675f,20.237423836120374,True
0xA63e7ea07aBA5E89Aa530a206230f3007f90AA10,21.320906491642962,True
0x078d66B58Fe3cffCa0d7179aEF48EC871D0d5fB5,35.391286,True
0x5396410E81CE9c219600f2542c85b9607E72D286,47.99487986745829,True
0x86a9dC9F3d77567ED95566c26Fa6D1070F05bbe6,49.26038372824016,True
0xC702B4c5E67AD4BeeB9F858c59c6fA4aA81532A3,50.0,True
0xc322aA3E9A98D623b24Eb323617443e9346410c4,58.79252342602683,True
0xb8076533B19c79f064A7D7cB1830DEC1c659f685,76.0,True
0x070DfAC2e0c1C5c7B454B064aCb8B935Ba6F78Bd,80.0,True
0x7432e12a2C7738a9DC871749BC0ec758d1Bf3fbE,85.17984504677511,True
0xD3bACEac7b5c7AC3B24e64488553B524f36801d3,103.43210709417255,True
0x90FA9158a8Ca22387d8ac39fb8f84a3124aEDfb0,117.90564279349948,True
0xbe625E5055aa83748E67dAe0ca8609729E01BdE5,122.49077233999999,True
0x374E9BeB7d5a15E3f4BBa0408388Df66aD2E6254,150.9294081737287,True
0x8aE70b80Fc853b723A54EDc5fD68831CfFBc3a20,165.61081628858804,True
0x20aceDC71b19ebF34383b2bF1ad4542b70E739dF,200.0,True
0xEB8751300897F587e373e3867167ddcFa7e5c6e0,391.6203549671291,False
0xB6d3aF87707a8B4Bf058729CA448097f774D7398,594.3827272000001,True
0xf7C7AE4609D8BE8E6530fbF5E59303c41a84dEe2,788.1526234191064,True
0xc889cE6202EadaE4501100FF4e88Efb3a337C18A,821.8045821831988,True
0x805d79A3562A0b7D0dAc7fd6E4D3422968B12A72,859.8181775896869,True
0xC840ba62Aab90B8cD629649822F04300Ef5D1963,1000.0,True
0x0736AE1F68a1d46d435ab49bA09778F3894d9210,1000.0,True
0x888664b9B779980EC1d6B1f740b24A08Fda6636e,1010.0,True
0x4d7F1Af0dCE0DDC7258dde2bDd273119599DDd83,1024.0,True
0x4fB035C3AB1DDaeF58Dd3A830Ae55B3E57cce983,1048.0009295628165,True
0xcB68f70565fA2f59eCe40A25df438dBf4f8727E2,1050.0,True
0x11c1FeAb0dA2570992211F9f48C80133890Fd12C,1065.4733928199803,True
0x71F34F904224Fd95819aD03fF4e4037e5a85ef17,1082.9246325941126,True
0x3d2EB61014cD0060876C9A2AcaA1c10f228584B0,1100.4660626568736,True
0xb17DB53E5519f804F48A11740793487296751236,1197.2100000000019,True
0x4c49172A499D18eA3093D59A304eEF63F9754e25,1229.8905262852538,True
0xD4DA002e714a7341a7d0fB1899F8260508E42653,1248.0,True
0x0957756646c5e808005dbF7970778c4AE5E80aEB,1258.01,True
0x5cEcAa42888c0B73806B373397397116bE0d4C4E,1409.6063438830702,True
0xADa9b51e4EC1C62CDE7fE002eDC1E96bD65852AF,1952.8780827696576,True
0x0d7EFfEFdB084DfEB1621348c8C70cc4e871Eba4,2083.3261347420366,True
0x9c5E82af05FE50F9d807CF82F08148D41A14Fe5b,2089.3732092433484,True
0x664afCf10b76653F385ABBcA99A9f15553de27aD,2302.0,False
0xC0b357D1c06feEa11F187765e1086D4a22795830,3068.1143691301286,True
0x5b5Ca64dB8880C9779864F39c52199622eA55e16,3300.0,True
0x2376d9096A516113Ac309a7ec8b0471cddf116aa,6176.190853489191,True
0xF4e26f168C092993B830212136e0F219552136ee,7616.879,True
0x90b32e5408b9eA6336472C8367dFD349a0c28C28,8000.287024277497,True
0xBA22E9Dc8532147b7A11dE0f533dE4Ad0f4f66d5,8448.0,True
0xb3286a970087Ae7b3498BA6273549b286C4Da091,10146.990430318388,True
0xeF9B97Ea6dc2E97335e22CD93CBB3595ecD671a1,12903.0,True
0x9b61F8Cb6EBA3E3E09FfDA03296C064A637CB242,24458.0,True
0x56479Eb3943b9f44d4149260019872fb1E7598f1,42148.461026543155,True
0x54d13ec47eda7189983C68a67E8498f0e755C859,57537.5,True
0x39E419bA25196794B595B2a595Ea8E527ddC9856,78992.0731771468,True
